Num_Acc,id_vehicule,num_veh,catv,obs,obsm,motor
202100015728,173552,B01,7,0,2,1
202100015728,173553,A01,7,3,2,1
202100015729,173550,A01,7,0,2,1
202100015730,173547,B01,10,0,2,1
202100015730,173548,A01,7,0,2,1
202100015730,173549,C01,14,0,2,1
202100015731,173546,A01,7,3,0,1
202100015732,173544,B01,7,0,2,1
202100015732,173545,A01,7,0,2,1
202100015733,173542,A01,10,6,0,1
202100015733,173543,B01,7,0,0,1
202100015734,173541,A01,7,4,0,1
202100015735,173538,C01,7,0,2,1
202100015735,173539,A01,7,15,2,1
202100015735,173540,B01,7,0,2,1
202100015736,173536,B01,7,4,2,1
202100015736,173537,A01,15,0,2,0
202100015737,173534,A01,34,1,2,1
202100015737,173535,B01,10,0,0,1
202100015738,173533,A01,7,0,1,1
202100015739,173532,A01,7,0,1,1
202100015740,173530,B01,14,0,2,1
202100015740,173531,A01,32,0,2,1
202100015741,173529,A01,10,0,1,1
202100015742,173527,B01,33,0,2,1
202100015742,173528,A01,30,0,2,1
202100015743,173526,A01,7,0,1,2
202100015744,173525,A01,1,0,0,5
202100015745,173524,A01,2,12,0,1
202100015746,173522,B01,30,0,2,1
202100015746,173523,A01,1,0,2,5
202100015747,173520,B01,32,0,2,1
202100015747,173521,A01,15,0,2,1
202100015748,173519,A01,7,0,1,2
202100015749,173518,A01,1,2,1,5
202100015750,173516,A01,33,0,2,1
202100015750,173517,B01,10,0,2,3
202100015751,173515,A01,37,0,1,2
202100015752,173513,B01,7,0,2,1
202100015752,173514,A01,10,0,2,1
202100015753,173511,A01,32,0,2,1
202100015753,173512,B01,80,0,2,3
202100015754,173509,A01,7,0,0,1
202100015754,173510,B01,7,1,0,2
202100015755,173507,B01,32,0,2,1
202100015755,173508,A01,10,0,2,1
202100015756,173505,A01,7,0,2,1
202100015756,173506,B01,30,0,2,1
202100015757,173503,B01,2,0,2,1
202100015757,173504,A01,7,0,2,1
202100015758,173501,A01,34,0,2,1
202100015758,173502,B01,1,0,2,5
202100015759,173500,A01,7,1,0,1
202100015760,173499,A01,33,0,1,1
202100015761,173497,A01,7,0,2,2
202100015761,173498,B01,34,0,2,3
202100015762,173495,A01,7,0,2,1
202100015762,173496,B01,2,0,2,1
202100015763,173493,B01,50,0,2,3
202100015763,173494,A01,10,0,2,0
202100015764,173490,C01,7,0,2,1
202100015764,173491,B01,7,0,2,1
202100015764,173492,A01,7,0,2,1
202100015765,173488,A01,7,0,2,1
202100015765,173489,B01,33,0,2,1
202100015766,173486,A01,7,0,2,1
202100015766,173487,B01,7,0,2,1
202100015767,173484,B01,7,0,2,1
202100015767,173485,A01,7,0,2,1
202100015768,173483,A01,7,0,1,1
202100015769,173481,A01,7,0,9,1
202100015769,173482,B01,1,0,2,0
202100015770,173479,B01,7,0,2,1
202100015770,173480,A01,7,0,2,1
202100015771,173477,A01,7,0,2,1
202100015771,173478,B01,32,0,2,1
202100015772,173476,A01,30,0,1,0
202100015773,173475,A01,7,0,1,0
202100015774,173473,A01,7,0,2,1
202100015774,173474,B01,80,0,2,3
202100015775,173471,A01,1,0,2,5
202100015775,173472,B01,10,0,2,1
202100015776,173469,B01,32,1,2,0
202100015776,173470,A01,20,0,2,0
202100015777,173468,A01,7,0,1,1
202100015778,173466,B01,7,0,2,1
202100015778,173467,A01,7,0,2,1
202100015779,173464,B01,33,0,2,1
202100015779,173465,A01,7,0,2,3
202100015780,173462,A01,7,0,2,1
202100015780,173463,B01,32,0,2,1
202100015781,173461,A01,7,0,1,1
202100015782,173460,Z01,7,0,1,0
